name,description,muscle_group,difficulty
Barbell Thruster,"Combines a front squat with an overhead press",Full body,hard
Sandbag Clean,"Functional strength exercise using a sandbag",Full body,medium
High-Intensity Interval Training (HIIT),"Short bursts of intense exercise followed by rest",Cardio,hard
Parallette Bars Workout,"Gymnastics-style exercises for strength and balance",Full body,medium
Capoeira,"Brazilian martial art that combines dance, acrobatics, and music",Cardio,hard
Bodyweight Jump Squat,"Explosive lower body exercise",Legs,medium
Inverted Row,"Bodyweight exercise for the upper back",Back,easy
Medicine Ball Slam,"Full body power exercise using a medicine ball",Full body,medium
Isometric Push-Up Hold,"Strengthens chest and arms with static hold",Chest,easy
Cross-Country Skiing,"Endurance sport that provides a full-body workout",Cardio,hard
Box Jump,"Jumping onto and off of a large box",Full body,medium
Wall Ball,"Throwing a weighted ball against a wall and catching it",Full body,medium
Kipping Pull-Up,"Pull-up using a swinging motion to gain momentum",Upper body,medium
Double Under,"Jump rope passing under feet twice per jump",Cardio,medium
Muscle-Up,"Pull-up transitioned into a dip, performed on rings or bar",Upper body,hard
Thruster,"Combining a front squat with a push press",Full body,hard
Clean and Jerk,"Lifting a barbell from floor to overhead in two movements",Full body,hard
Snatch,"Lifting a barbell from the floor to overhead in one movement",Full body,hard
Kettlebell Swing,"Swinging a kettlebell between legs and up to chest or overhead",Full body,medium
Burpee,"Full body exercise involving a squat, plank, and jump",Full body,hard
Toes-to-Bar,"Hanging from a bar and bringing toes up to touch the bar",Core,hard
Deadlift,"Lifting a loaded barbell off the ground to hip level",Lower body,medium
Handstand Push-Up,"Performing a push-up in a handstand position",Upper body,hard
Power Clean,"Rapidly lifting a barbell from floor to shoulders",Full body,hard
Overhead Squat,"Performing a squat while holding a weight overhead",Full body,hard
Sumo Deadlift High Pull,"Wide-stance deadlift into an upright row",Full body,medium
Ring Dip,"Performing dips on gymnastic rings",Upper body,medium
Pistol Squat,"One-legged squat down to at least parallel",Lower body,hard
Rowing,"Using a rowing machine for distance or time",Cardio,medium
Air Squat,"Squat without added weight",Lower body,easy
Push Jerk,"Driving a barbell overhead with a slight dip and drive",Upper body,medium
Barbell Thruster,"Front squat combined with a push press",Full body,hard
Rope Climb,"Climbing a rope using arms and legs",Upper body,hard
Sled Push,"Pushing a weighted sled across a distance",Full body,hard
Farmer's Walk,"Carrying heavy weights in each hand for distance",Full body,medium
Sandbag Carry,"Carrying a heavy sandbag for distance",Full body,medium
Assault Bike,"Using an air resistance exercise bike",Cardio,medium

